City,Code
北京市,131
上海市,289
广州市,257
深圳市,340
重庆市,132
天津市,332
石家庄市,150
南京市,315
成都市,75
沈阳市,58
杭州市,179
武汉市,218
长沙市,158
苏州市,224
大连市,167
长春市,53
西安市,233
昆明市,104
佛山市,138
哈尔滨市,48
郑州市,268
宁波市,180
无锡市,317
温州市,178
青岛市,236
济南市,288
南昌市,163
福州市,300
东莞市,119
南宁市,261
合肥市,127
厦门市,194
乌鲁木齐市,92
贵阳市,146
香港特别行政区,2912
台北市,9002
高雄市,9019
新加坡,20001
曼谷,20508
名古屋,26001
横滨,26019
京都,26022
大阪,26033
东京,26041
釜山,30001
大邱,30004
大田,30005
光州,30007
首尔,30016
巴黎,49872
里约热内卢,39816
巴西利亚,53009
圣保罗,39817
纽约,60732
莫斯科,65531
斯德哥尔摩,51758
罗马,50059
鹿特丹,52390
伦敦,51442
布鲁塞尔,50303
奥斯陆,52166
赫尔辛基,51373
布拉格,46663
布达佩斯,47021
华沙,47370
索菲亚,48184
布加勒斯特,48268
伊斯坦布尔,48552
安卡拉,48581
维也纳,50242
蒙特利尔,58134
慕尼黑,50889
哥本哈根,51833
汉堡,50680
汉诺威,50694
里斯本,51944
巴伦西亚,51305
明斯克,84562
巴塞罗那,51271
柏林,50990
法兰克福,50783
基辅,49201
马德里,51314
雅典,46874
